id,total_fights,total_fight_time_sec,finish_rate,ctrl_avg,leg_landed_avg,body_landed_avg,kd,strikes_attempted,sub_att,career_td_acc,ko_tko_wins,sub_wins,ko_loss_rate,never_submitted,five_round_fights,five_round_wins,five_round_win_rate,five_round_decision_rate,ground_finish_rate,ground_landed_per_tko,sig_str_landed_per_sec,splm_std
e99eb0ef25885de5,2,263,0.0,88.97,78.71,44.49,0.0,159.0,0.0,0.0,0,0,100.0,1,0,0,0.0,0.0,0.0,0.0,0.2548,25.83
849c5d9979df5357,6,1535,33.33,663.13,38.11,39.28,4.0,832.0,2.0,68.18,1,1,16.67,1,0,0,0.0,0.0,0.0,0.0,0.2541,6.59
4461d7e47375a895,8,1719,62.5,1516.23,20.42,10.47,3.0,421.0,10.0,48.72,2,3,0.0,1,2,2,100.0,0.0,50.0,13.0,0.1478,10.03
745fa7b605f8e2da,3,723,66.67,568.88,14.94,39.83,1.0,294.0,0.0,60.0,2,0,0.0,1,0,0,0.0,0.0,100.0,8.0,0.2019,14.16
48a9a128784d53d1,6,1554,33.33,213.13,49.23,39.96,2.0,760.0,0.0,16.67,2,0,16.67,1,0,0,0.0,0.0,50.0,3.0,0.2323,6.42
84b3e7d38f2d2ec5,35,8787,25.71,564.56,15.77,28.58,2.0,3144.0,7.0,39.1,7,2,11.43,0,1,1,100.0,100.0,85.71,33.71,0.1673,32.16
d964a59c48381cb6,3,900,0.0,399.0,35.0,37.0,0.0,408.0,1.0,28.57,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2178,3.07
351c4ec637380ad5,12,3600,0.0,785.0,76.25,33.75,2.0,1891.0,2.0,48.28,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2942,11.15
7eaa5e31c2dd86aa,2,295,0.0,1421.69,64.07,21.36,0.0,67.0,1.0,31.25,0,0,100.0,1,0,0,0.0,0.0,0.0,0.0,0.1288,0.82
d8c811df0386d5e8,5,995,40.0,1316.08,24.42,25.33,3.0,244.0,4.0,87.5,2,0,0.0,1,0,0,0.0,0.0,100.0,2.5,0.1286,5.08
e375cb5caf4717b6,6,1657,0.0,877.73,16.84,53.23,1.0,576.0,0.0,65.79,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.172,4.4
c814b4c899793af6,11,2412,27.27,226.12,38.43,96.64,2.0,1229.0,0.0,72.73,3,0,18.18,1,1,1,100.0,0.0,66.67,0.67,0.2674,57.81
260e9e0d4954aea6,9,1947,55.56,771.03,28.2,18.03,0.0,592.0,6.0,23.08,0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.1695,8.05
d3f89fa685bd8420,2,519,50.0,891.33,3.47,15.61,0.0,57.0,1.0,21.05,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0482,2.03
83455a9d17f57dae,3,900,0.0,1767.0,8.0,16.0,0.0,143.0,1.0,38.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0689,1.84
ae81a3ac7b260411,1,275,0.0,39.27,0.0,6.55,0.0,6.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0073,0.0
5444c5a201d3ee5a,11,2096,36.36,158.02,27.48,67.84,4.0,1347.0,0.0,0.0,4,0,27.27,1,3,3,100.0,33.33,75.0,5.0,0.323,14.22
ff62013d2fce6d13,5,962,80.0,383.58,24.32,60.81,2.0,550.0,1.0,55.56,3,1,0.0,1,0,0,0.0,0.0,33.33,0.67,0.2796,36.13
fa6796c55d6c5440,20,3211,40.0,1439.55,36.16,20.18,2.0,1250.0,0.0,48.85,8,0,25.0,1,4,4,100.0,25.0,75.0,13.38,0.1978,21.6
07047eb7d17fb0a2,3,832,0.0,43.27,0.0,58.41,0.0,385.0,0.0,100.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.1935,7.57
4a07b1988477502c,1,300,0.0,1845.0,9.0,15.0,0.0,61.0,1.0,66.67,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.11,0.0
8d11d9c13e2ccdf7,6,1198,33.33,810.6,21.04,24.04,1.0,384.0,1.0,42.86,2,0,0.0,0,0,0,0.0,0.0,50.0,2.5,0.1311,7.3
103e2e33a60683e1,3,731,33.33,188.37,48.02,30.78,1.0,330.0,1.0,20.0,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1765,1.82
442c9011034ae1fd,10,2838,30.0,345.98,51.69,43.76,4.0,1292.0,4.0,33.33,3,0,0.0,1,1,1,100.0,100.0,66.67,6.0,0.2477,8.56
f00ac08ab056af5d,7,1896,28.57,1107.91,7.12,18.51,1.0,591.0,9.0,38.64,0,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.154,5.27
3329d692aea4dc28,3,900,0.0,455.0,29.0,18.0,1.0,320.0,0.0,66.67,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1744,1.2
6a96ad1bc34fb113,6,1800,0.0,524.5,32.0,43.5,0.0,628.0,1.0,40.91,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1844,3.92
9560ff14eb3129f7,11,2798,27.27,61.12,30.56,46.32,6.0,1374.0,2.0,40.0,3,0,0.0,1,1,1,100.0,0.0,100.0,4.33,0.2062,8.66
b07aed698fba8624,4,660,75.0,46.36,13.64,31.36,3.0,152.0,0.0,0.0,3,0,25.0,1,0,0,0.0,0.0,33.33,6.0,0.1439,3.46
d4c9dcd330403612,25,5072,44.0,174.43,28.04,27.5,7.0,1678.0,8.0,22.86,6,5,24.0,0,5,5,100.0,0.0,66.67,1.83,0.1656,16.76
c6aee362c7a7d482,20,4174,35.0,440.51,33.85,39.89,6.0,1976.0,8.0,39.29,4,3,10.0,0,0,0,0.0,0.0,50.0,3.75,0.2245,10.15
595db60957de51d3,13,2698,38.46,216.49,24.35,92.4,3.0,1245.0,7.0,52.38,2,3,7.69,1,0,0,0.0,0.0,50.0,2.0,0.2417,6.17
d9a56ecb6e94f02e,5,1044,20.0,295.69,49.14,115.52,2.0,693.0,2.0,15.38,0,1,20.0,1,0,0,0.0,0.0,0.0,0.0,0.3381,37.55
da22387a0407a2dc,10,2487,40.0,507.72,34.02,36.91,0.0,956.0,10.0,33.33,1,3,10.0,1,0,0,0.0,0.0,100.0,20.0,0.1765,7.19
67c1d46f4ed16f9e,15,3086,20.0,144.94,21.87,18.37,1.0,1244.0,10.0,40.0,0,3,33.33,0,0,0,0.0,0.0,0.0,0.0,0.1627,21.22
bc7d1ad49fcb2d08,5,936,80.0,1236.54,1.92,11.54,0.0,204.0,13.0,37.5,1,3,0.0,1,0,0,0.0,0.0,100.0,80.0,0.1165,8.57
45f0cc9d18f35137,14,3794,21.43,117.9,104.85,23.96,6.0,1469.0,1.0,25.0,3,0,0.0,0,0,0,0.0,0.0,66.67,2.67,0.2277,4.57
2e45d08b3f2f02c8,2,276,100.0,29.35,19.57,42.39,2.0,51.0,0.0,0.0,2,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1123,3.26
0e46690e55a8df75,3,835,33.33,285.63,18.32,30.18,1.0,274.0,0.0,26.67,1,0,0.0,1,0,0,0.0,0.0,100.0,1.0,0.1497,2.15
b1b0729d27936f2f,20,5258,15.0,745.61,19.68,32.35,0.0,3158.0,3.0,38.66,2,1,5.0,1,3,3,100.0,100.0,50.0,6.5,0.2611,6.75
af9efbfd63d39734,5,1306,20.0,591.27,4.13,34.46,0.0,408.0,0.0,60.0,1,0,20.0,1,0,0,0.0,0.0,100.0,21.0,0.1409,3.26
e8b731feff72294b,14,3975,14.29,288.0,39.17,39.4,1.0,2202.0,9.0,35.29,0,2,0.0,0,2,2,100.0,50.0,0.0,0.0,0.2287,8.35
132deb59abae64b1,18,4636,33.33,1169.26,43.1,26.4,2.0,2022.0,7.0,60.2,4,2,0.0,0,12,12,100.0,58.33,100.0,14.0,0.2284,7.94
c2299ec916bc7c56,9,1678,66.67,966.51,27.89,56.85,4.0,655.0,7.0,39.58,3,3,22.22,1,0,0,0.0,0.0,100.0,22.33,0.2181,46.44
d0f3959b4a9747e6,23,5983,17.39,397.58,24.22,42.12,7.0,2992.0,4.0,50.0,4,0,17.39,1,9,9,100.0,77.78,75.0,4.75,0.2263,7.22
8e9eb3fc86db0f7d,16,3663,25.0,267.81,18.92,44.23,4.0,1914.0,1.0,28.57,3,1,18.75,0,0,0,0.0,0.0,66.67,15.33,0.2506,8.52
dd6103dd7127db1d,6,1153,66.67,432.44,42.15,36.69,3.0,360.0,2.0,70.0,2,2,16.67,1,0,0,0.0,0.0,100.0,6.0,0.17,27.74
32ab52e5de93092d,7,1770,14.29,407.8,21.86,44.24,1.0,910.0,3.0,27.59,1,0,14.29,1,0,0,0.0,0.0,0.0,0.0,0.2362,24.15
abcf2cc6efc42031,7,2022,14.29,663.2,10.68,37.39,0.0,699.0,1.0,55.56,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1573,5.64
46e0d677f91bacc0,11,2546,18.18,510.8,18.03,20.86,2.0,1108.0,0.0,22.92,2,0,9.09,0,0,0,0.0,0.0,0.0,0.0,0.187,15.92
cad24459b28592ca,19,4993,26.32,688.92,7.57,35.51,7.0,1627.0,1.0,24.76,5,0,10.53,0,0,0,0.0,0.0,80.0,16.6,0.157,4.74
8fd808923cffff82,25,5913,16.0,387.21,19.48,22.68,6.0,2708.0,4.0,45.35,4,0,12.0,0,0,0,0.0,0.0,75.0,6.25,0.1723,13.06
476fe566d2df676e,10,2158,30.0,233.55,13.35,24.19,1.0,731.0,1.0,66.67,2,1,30.0,1,0,0,0.0,0.0,0.0,0.0,0.145,2.82
b4b496ec2197ee3e,2,600,0.0,352.5,57.0,94.5,1.0,380.0,0.0,60.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.3133,3.2
b67d6bacc68d4c92,4,1168,25.0,856.08,21.58,47.77,1.0,638.0,0.0,39.29,1,0,0.0,1,0,0,0.0,0.0,100.0,2.0,0.2209,3.53
327d5f279895110d,13,3388,38.46,639.4,33.47,22.31,4.0,1355.0,9.0,39.29,5,0,0.0,0,1,1,100.0,100.0,100.0,7.8,0.1677,7.13
7478b7f959ba61f5,2,550,50.0,657.82,14.73,6.55,0.0,143.0,1.0,75.0,1,0,0.0,1,0,0,0.0,0.0,100.0,36.0,0.14,0.44
f9ab66e67240db7b,11,2968,27.27,462.13,61.56,62.47,1.0,1227.0,5.0,38.71,2,1,0.0,1,0,0,0.0,0.0,100.0,2.0,0.222,8.1
681399317dbf4701,8,1157,62.5,67.68,17.11,29.56,6.0,339.0,0.0,50.0,5,0,12.5,0,0,0,0.0,0.0,80.0,8.6,0.1685,10.08
7b433309b0fd12aa,9,2464,0.0,756.09,34.33,27.03,0.0,1109.0,0.0,34.09,0,0,11.11,1,0,0,0.0,0.0,0.0,0.0,0.2362,8.55
a6eb54ae17a551be,5,1429,20.0,127.22,20.78,32.12,1.0,510.0,1.0,18.18,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1714,7.4
f14f644d41ade29f,13,2575,30.77,353.71,8.74,6.99,3.0,382.0,4.0,48.0,3,1,7.69,0,0,0,0.0,0.0,100.0,4.0,0.0742,12.83
6add18754930182b,2,600,0.0,1555.5,37.5,63.0,1.0,233.0,0.0,36.84,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2167,4.2
23024fdfc966410a,24,6090,33.33,623.2,25.57,30.44,4.0,1933.0,9.0,37.84,3,5,16.67,1,1,1,100.0,100.0,100.0,5.0,0.1534,15.68
7026eca45f65377b,16,4052,18.75,838.03,21.32,36.2,2.0,1752.0,0.0,32.81,3,0,18.75,0,0,0,0.0,0.0,100.0,14.0,0.2414,10.53
902ec2cc48c8ae8a,17,3146,35.29,371.61,22.6,58.93,1.0,1737.0,7.0,44.74,2,4,35.29,1,0,0,0.0,0.0,100.0,11.0,0.2664,10.97
5eb50529a8418b77,6,1379,33.33,335.46,55.47,70.49,2.0,782.0,2.0,50.0,1,1,16.67,1,0,0,0.0,0.0,100.0,8.0,0.256,7.85
94426bb170c88115,10,2307,30.0,448.63,51.89,38.23,3.0,1112.0,3.0,25.0,2,1,10.0,1,0,0,0.0,0.0,50.0,2.0,0.2336,8.69
71505842fb6455c3,9,2020,22.22,713.76,29.41,26.73,2.0,621.0,7.0,39.39,1,1,22.22,0,0,0,0.0,0.0,100.0,4.0,0.1366,10.17
5078e1dacf9d25f4,5,1327,60.0,848.46,14.24,33.91,0.0,329.0,4.0,50.0,1,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1311,5.82
b671bdf981ad527d,4,642,75.0,478.04,39.25,25.23,2.0,246.0,4.0,40.0,1,2,0.0,0,0,0,0.0,0.0,100.0,8.0,0.1636,4.15
70380ccdc81915b8,1,174,100.0,418.97,20.69,5.17,0.0,12.0,1.0,100.0,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0517,0.0
ac7c765882f2c68c,9,1953,0.0,229.03,31.8,35.48,1.0,626.0,0.0,60.0,0,0,33.33,0,0,0,0.0,0.0,0.0,0.0,0.1705,8.86
31ef8b67e13495b3,18,5153,11.11,433.32,47.86,44.54,1.0,2494.0,1.0,13.85,1,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2327,5.4
d549cefc7c54ab78,4,728,75.0,1346.29,11.13,61.81,2.0,264.0,2.0,27.27,1,2,0.0,1,1,1,100.0,100.0,0.0,0.0,0.1909,6.57
65f09bacd3957381,15,3327,46.67,769.61,56.27,43.28,4.0,2358.0,4.0,34.62,6,1,0.0,0,5,5,100.0,40.0,83.33,18.33,0.3198,15.73
cc1a8b4b38b92c6d,11,2558,36.36,912.31,9.85,22.17,11.0,632.0,3.0,60.0,3,1,0.0,1,0,0,0.0,0.0,100.0,4.67,0.136,3.79
5c84f673b7bb7c15,3,900,0.0,2.0,6.0,68.0,0.0,492.0,0.0,0.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2033,5.49
6d1bffff14897645,20,4600,35.0,136.17,35.61,26.61,11.0,2605.0,0.0,27.27,7,0,20.0,1,2,2,100.0,0.0,100.0,2.43,0.2354,9.57
18968f97ad34f15c,35,8072,22.86,478.21,34.01,24.75,18.0,3125.0,10.0,38.46,8,0,8.57,0,2,2,100.0,0.0,100.0,7.62,0.1581,12.12
3143bf892608139a,11,2913,0.0,825.23,51.29,76.62,1.0,1046.0,1.0,50.0,0,0,27.27,1,0,0,0.0,0.0,0.0,0.0,0.2101,22.11
d5bab53a1a603aac,2,273,50.0,982.42,0.0,26.37,0.0,77.0,1.0,14.29,1,0,50.0,1,0,0,0.0,0.0,100.0,41.0,0.2015,9.18
96924b0019b3aff1,4,923,0.0,359.8,44.85,33.15,0.0,303.0,0.0,100.0,0,0,25.0,0,0,0,0.0,0.0,0.0,0.0,0.1614,3.74
cd2c4d30c6e13b47,15,3697,13.33,173.33,40.65,57.45,2.0,2084.0,4.0,42.86,2,0,13.33,1,2,2,100.0,100.0,100.0,6.0,0.2583,7.78
764d39074a352e33,4,1092,0.0,877.75,12.36,41.21,0.0,309.0,1.0,61.9,0,0,25.0,1,0,0,0.0,0.0,0.0,0.0,0.1658,4.02
aa0c573da7119292,4,1058,25.0,1002.08,8.51,26.37,0.0,294.0,4.0,38.89,1,0,25.0,1,0,0,0.0,0.0,100.0,25.0,0.1229,3.56
4b93a88f3b1de35b,7,1093,28.57,767.43,26.35,60.11,2.0,618.0,1.0,40.91,2,0,28.57,0,0,0,0.0,0.0,100.0,9.5,0.2882,37.19
e1248941344b3288,17,4379,29.41,703.31,87.14,38.02,6.0,3018.0,3.0,34.44,5,0,11.76,1,7,7,100.0,71.43,100.0,32.2,0.3921,39.68
c41d426cc7326d1b,13,3618,7.69,237.06,48.76,30.1,2.0,2030.0,0.0,73.33,1,0,7.69,1,1,1,100.0,100.0,100.0,3.0,0.2532,7.38
cbf5e6f231b55443,16,3700,31.25,260.27,60.08,46.95,5.0,2096.0,9.0,29.41,4,1,12.5,0,5,5,100.0,20.0,75.0,6.5,0.2659,31.92
82a5152216251682,20,4837,30.0,324.68,21.03,38.7,7.0,2051.0,1.0,21.43,5,1,0.0,1,0,0,0.0,0.0,40.0,4.4,0.1914,8.22
d1941565abf50b16,46,9868,41.3,515.12,25.54,23.99,6.0,3120.0,51.0,45.0,6,13,4.35,0,0,0,0.0,0.0,100.0,7.33,0.1331,20.23
92a9aa9c93192871,30,7229,23.33,964.49,6.35,29.26,2.0,3096.0,25.0,34.01,4,3,13.33,0,0,0,0.0,0.0,50.0,7.0,0.1646,5.83
4e6738062d469256,6,1447,0.0,799.24,26.74,12.44,0.0,275.0,0.0,30.77,0,0,33.33,0,0,0,0.0,0.0,0.0,0.0,0.0857,3.38
3cf18e01cb6cbde3,8,1877,12.5,205.7,41.72,21.1,2.0,698.0,4.0,25.0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.1907,4.53
147e70aa6cc48cfc,6,1158,33.33,229.27,30.31,19.43,0.0,317.0,3.0,75.0,0,2,33.33,1,0,0,0.0,0.0,0.0,0.0,0.1174,4.06
fba03cd6cc28dc41,15,3963,26.67,225.97,26.12,37.02,12.0,2155.0,1.0,37.5,4,0,6.67,0,1,1,100.0,100.0,25.0,3.75,0.1948,6.78
f2b3f4ef3f780168,5,1198,40.0,368.11,36.81,39.07,1.0,301.0,1.0,11.11,1,1,0.0,1,0,0,0.0,0.0,100.0,2.0,0.1377,2.88
0c6d9ea8306c029e,26,6755,7.69,357.87,36.37,25.05,4.0,2656.0,0.0,26.67,2,0,19.23,1,0,0,0.0,0.0,100.0,6.0,0.1707,8.14
8173f134396cb971,2,528,0.0,853.98,8.52,6.82,0.0,69.0,0.0,66.67,0,0,50.0,1,0,0,0.0,0.0,0.0,0.0,0.053,0.25
b8bbdeff718dbb7d,9,1826,33.33,1568.35,3.94,11.34,1.0,227.0,9.0,48.78,0,3,22.22,1,0,0,0.0,0.0,0.0,0.0,0.0772,4.25
f748267c4ab6c127,5,1389,20.0,316.2,16.2,42.76,3.0,617.0,0.0,0.0,1,0,20.0,1,0,0,0.0,0.0,100.0,2.0,0.1973,8.5
6d68c1afe954f121,12,2491,25.0,135.85,16.26,18.79,4.0,670.0,2.0,27.27,3,0,16.67,0,0,0,0.0,0.0,100.0,4.67,0.1104,4.29
d7e40dca3ae125be,8,2215,0.0,165.37,40.23,59.73,1.0,1339.0,0.0,62.5,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.2533,8.04
eb8d8c2a95cfccb8,7,1594,14.29,486.7,36.7,112.92,3.0,1168.0,2.0,42.86,1,0,0.0,0,0,0,0.0,0.0,100.0,18.0,0.3896,29.51
4e30e4250cb08b61,9,2444,11.11,460.31,33.14,81.01,0.0,863.0,1.0,51.52,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1989,6.11
fbb60f24af5d5a02,1,300,0.0,2388.0,0.0,6.0,0.0,8.0,0.0,47.06,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0133,0.0
5d1b7e3dd9e11074,9,2279,44.44,80.56,28.83,39.89,6.0,974.0,2.0,30.0,4,0,0.0,1,1,1,100.0,0.0,50.0,2.25,0.2387,15.53
2c483cf443f38ece,10,2753,10.0,312.86,15.37,37.6,1.0,1131.0,2.0,10.34,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.1638,6.45
b7c5eb7cdbac6a63,3,568,33.33,141.02,36.44,34.86,1.0,314.0,0.0,0.0,1,0,33.33,1,0,0,0.0,0.0,100.0,6.0,0.2764,31.17
be9bdec19b7e9ffe,6,838,0.0,923.63,18.26,26.85,1.0,161.0,0.0,30.77,0,0,50.0,0,0,0,0.0,0.0,0.0,0.0,0.1014,16.67
b7b84ccd221be298,14,3510,14.29,105.38,10.26,62.05,7.0,2440.0,0.0,20.0,2,0,7.14,1,0,0,0.0,0.0,100.0,7.5,0.3162,9.93
1ae8f3c723aacff4,14,3260,21.43,324.39,18.77,23.19,3.0,1094.0,6.0,57.5,2,1,14.29,0,0,0,0.0,0.0,50.0,2.0,0.1224,5.62
41cc71cbf210e0fe,4,523,50.0,521.41,49.9,91.2,1.0,414.0,2.0,20.0,2,0,25.0,1,0,0,0.0,0.0,50.0,9.0,0.457,12.59
05fa626cb33d15b8,14,4192,14.29,392.03,43.15,66.34,1.0,2032.0,8.0,52.38,1,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.2204,4.81
52ef95b5860fb28c,5,909,100.0,41.58,4.95,42.57,5.0,290.0,3.0,100.0,4,1,0.0,1,0,0,0.0,0.0,50.0,2.75,0.1727,12.68
814e5233e2acf2ee,11,2993,18.18,200.87,42.1,62.55,3.0,1430.0,4.0,20.83,2,0,0.0,1,0,0,0.0,0.0,100.0,6.5,0.2372,72.46
05339613bf8e9808,19,4986,36.84,217.87,16.61,43.14,7.0,2944.0,6.0,34.21,6,1,0.0,0,1,1,100.0,100.0,83.33,6.5,0.2732,12.39
056c493bbd76a918,15,3815,26.67,594.26,29.25,54.26,5.0,1653.0,2.0,31.25,4,0,6.67,1,4,4,100.0,25.0,100.0,14.5,0.2039,18.55
cd13728ae1151f46,19,3915,26.32,462.07,17.93,26.9,2.0,1523.0,1.0,49.37,4,1,15.79,0,0,0,0.0,0.0,75.0,10.0,0.1688,8.8
2f181c0467965b98,17,4079,47.06,715.98,20.96,35.08,3.0,1364.0,14.0,42.55,1,7,11.76,1,2,2,100.0,50.0,100.0,16.0,0.1772,12.85
